Produktnummer;Produktname;Lagerkürzel;Lagerplatz;Standardlagerplatz;Bestand
100152;Handbremsseil für Scheibenbremse bis Baujahr 07/1988 1800mm Golf &Co OE Ref.191609721A;HL;2-J1-109;yes;3
100153;Ausgleichsbehälter für Kühler ohne Geber, inkl. Deckel, Schlauch und Schellen OE Ref. 171121407E;HL;;no;0
100154;Clip für Haubenaufsteller, Golf 2 &Co, T4 Bus, OE Ref. 357823397;HL;N-01-4-2-1;yes;14
100155;Clip für Innenverkleidung in Schwarz Golf &Co, Polo, Passat und T3 OE Ref. N0385491;HL;2-N13-603-1;yes;120
100157;Regulierventil für Heizung Golf 1 &Co, Passat und T3 OE Ref. 171819809E;HL;2-F1-401;yes;11
100158;Lenkstockhebel Set, rechts und links, ohne MFA, Golf & Co und Polo, OE Ref.321953519D und 321953513;HL;;no;0
100159;Abdeckkappe für Scheibenwischer Golf 1 & Co, Passat, T3, OE Ref. 133955435;HL;2-N15-701-1;yes;61
100160;Abdeckkappe für Domlager Polo OE Ref. 861412375;HL;N-03-4-2-3;yes;6
100161;Öldeckel inkl. Dichtung, mit Aufdruck, Golf & Co, Polo und Passat OE Ref. 026103485A;HL;2-M3-104-1;yes;3
100162;"Thermostat ""Tropenausführung"" 80 Grad, mit Dichtung, Golf & Co und T3, OE Ref. 056121113A";HL;N-03-4-1-4;yes;2
100163;Heckklappendämpfer/ Gasdruckfeder für Golf 1 und Scirocco 1 OE Ref. 171827550A;HL;2-I13-809;yes;9
100164;Halteband für Hutablage, Golf 1, Scirocco 53B, OE Ref.171867779A;HL;M-04-6-3-2;yes;20
100165;Türbolzen für Türscharnier/Heckklappe, Golf &Co, Polo, Passat und T3, T4, OE Ref. 321831421;HL;2-O5-804-1;yes;28
100166;Gummipuffer, Motorhaube bzw. Heckklappe, Golf &Co, T3, T4, OE Ref. 867827500A;HL;N-07-1-2-2;yes;102
100167;Reparatursatz Lagerung Schaltgestänge im Motorraum Golf 1 &Co OE Ref. 171798211;HL;2-N5-701;yes;70
100168;Rep. Satz für Schaltgestänge inkl. Schaltstange Golf 1 & Co, 5 Gang OE Ref. 171711574B / 171711593E;HL;;no;0
100169;Drehknopf für verstellbare Rückenlehne Caddy und Golf 2 &Co, T4, OE Ref. 357881671;HL;N-03-1-5-6;yes;2
100170;Motorlager, am Getriebe hinten, Golf 1 &Co OE Ref. 171399151B;HL;2-L3-504;yes;5
100171;Schalter für Heckscheibenheizung Golf 2 &Co OE Ref. 191959621B;HL;R24-014-07;yes;0
100172;Spritzwasserdüse Hinten mit Gummidichtung Golf 1, Golf 2 & Co, Passat und T3 OE Ref. 211955993;HL;2-N15-704-3;yes;2
100173;Schaltknauf 5 Gang Lederoptik Golf &Co und Polo OE Ref. 191711141B;HL;2-N3-602-2;yes;4
100174;Spritzwasserpumpe Golf &Co, Polo, Passat, T3, T4, OE Ref. 431955651;HL;2-N15-602-1;yes;5
100175;Ausgleichsbehälter für Geber, inkl. Montagematerial, Golf & Co und Passat, OE Ref. 171121407F;HL;;no;0
100176;Service Kit, Anschlagpuffer und Schutzrohr für Stoßdämpfer vorn, Golf & Co, OE Ref. 191412303A;HL;;no;0
100177;Zünd/Start Schalter Farbcode Weiss 6-polig Golf & Co, Polo, Passat und T3 OE.Ref. 111905865L;HL;2-N3-204-1;yes;7
100178;Zündschloßgehäuse inkl. Lager Golf & Co, Polo, Passat und  T3 OE Ref. 321905851D;HL;2-K3-602;yes;5
100179;Schließzylinder Zündschloß, AH Profil Golf & Co, Polo, Passat und T3 OE Ref. 191905855;HL;2-K3-402-2;yes;10
100180;Lüftermotor für Kühler, Stecker 3-polig,  Golf & Co, Polo und Passat OE Ref. 165959455;HL;2-I3-302;yes;2
100181;Gasblasen Abscheider für Vergaser Golf & Co, Polo und Passat OE Ref. 026127177B;HL;2-L4-201;yes;3
100182;Gaszug, Vergaser Golf 1 &Co ab Bj. 08/1979, auch für NZ, OE Ref. 171721555T;HL;2-J1-206;yes;3
100183;Montagesatz für Kühler, Gummi-Metall-Lager, Golf 1 & Co, Polo, Passat und T3, OE Ref. 171121275E;HL;;no;0
100184;Vorförderpumpe mit Sieb Golf 1 Cabrio, Scirocco,  Golf 2 & Co und Polo OE Ref. 357906092C;HL;2-L2-602;yes;9
100185;Getriebelager für Automatikgetriebe Golf 1 &Co OE Ref. 171399151A;HL;2-L3-505;yes;2
100186;Ölmessstab Golf & Co ab Bj. 08/1982 OE Ref. 027115611C;HL;M-03-7-12;yes;11
100187;Deckel für Ausgleichsbehälter, blau, Golf &Co, Polo & Passat, OE Ref. 443121321;HL;2-F1-605;yes;26
100188;Tachowelle in OE Qualität Golf &Co 1,0 bis 1,3L mit Schaltgetriebe OE Ref. 191957803H, 171957803G;HL;L-19-1;yes;3
100189;Antriebsrad für Tachowelle Z 16 Farbe =Natur 1,5L bis 1,8L Golf &Co OE Ref. 171957821A;HL;N-07-3-4-3;yes;8
100190;Antriebsrad für Tachowelle Farbcode Rot Z15 Golf & Co ab 1,5L OE Ref. 171957821B;HL;N-03-3-1-1;yes;12
100191;Tachowelle Golf &Co ab 1,5L und Bj. 08/81 mit Schaltgetriebe, OE Ref. 191957803D;HL;2-J1-203;yes;5
100192;Pulldowndose für Vergaser ab Bj. 1985 Golf 2 & Co und Passat OE Ref. 030129220A;HL;2-N17-305-3;yes;5
100193;Bremsschlauch Set vorne 330mm inkl. Montagematerial Golf & Co und Passat OE Ref. 171611701 L;HL;;no;0
100194;Bremsschlauch Hinten 2 Stück inkl. Montagematerial Golf & Co Polo Passat T3 OE Ref. 433611775A;HL;;no;0
100195;Bremsschlauch vo.+ hi, inkl. Montagematerial, Golf & Co Passat, OE Ref.171611701L  433611775A;HL;;no;0
100196;Ölwanne ab Bj. 08/85 Golf 1 Cabrio, Caddy und Golf 2 & Co OE Ref. 051103601;HL;3-B2-601;yes;4
100197;Radnabe, Vorderachse, Golf 1 &Co, OE Ref. 175407615;HL;2-K6-501;yes;5
100198;Achszapfen Hinten Trommelbremse Lochzahl 6 Golf & Co, Polo, Passat OE Ref. 357501117;HL;2-K6-503;yes;4
100199;Radlagerkappe, für Hinterachse, Golf & Co, Polo, Passat OE Ref. 823501249;HL;2-N9-301-1;yes;7
100200;Wischermotor, Scheibenwischermotor vorne Golf 2 & Co, Polo, Passat, T3 OE Ref. 191955113A 251955119;HL;L-16-2-4;yes;3
100201;Gebläsemotor für Heizung, Golf 1 &Co, Passat & T3 Bus, OE Ref. 251819015;HL;2-I8-304;yes;2
100202;Original Kühlergrill, Mittelteil, Golf 1, OE Ref. 171853653;HL;3-H1-305;yes;2
