Produktnummer;Produktname;Lagerkürzel;Lagerplatz;Standardlagerplatz;Bestand
101141;VW Zeichen, Emblem Kühlergrill schwarz, Jetta 2 bis Bj. 07/87 Polo bis 07/90, OE Ref. 165853601A;HL;2-N3-402-2;yes;0
101142;VW Zeichen, Emblem Kühlergrill, chrom, Golf 1 Cabrio und Golf 2 &Co ab Bj. 07/87, OE Ref. 3A0853601;HL;2-N3-501-1;yes;8
101143;VW Zeichen, Emblem Kühlergrill, schwarz, Golf 1 Cabrio und Golf 2 &Co ab 07/87, OE Ref. 323853601;HL;2-N5-301-1;yes;5
101144;"Abdeckung, Emblem ""Wolfsburg"" für Seitenblinker, Golf 2 & Co, OE Ref. 165853688A GX2";HL;2-N3-402-1;yes;1
101145;VW Zeichen, Emblem, chrom, hinten seitlich, Golf & Co OE Ref. 191853601B GX2;HL;2-N3-401-2;yes;6
101146;"Schriftzug, Emblem "" VOLKSWAGEN "", chrom, Heckklappe Golf 1 & Co bis Bj. 07/1983 OE Ref. 171853685A";HL;2-N1-401-2;yes;4
101147;"Schriftzug, Emblem ""G60"" hinten Golf 2 & Co OE Ref. 191853675B";HL;2-N1-403-4;yes;1
101149;"Schriftzug, Emblem ""GTI"" seitlich am Kotflügel, Golf 2 & Co OE Ref. 191853688J GX2";HL;2-N3-402-5;yes;6
101150;VW Zeichen Kühlergrill, verchromt,125mm Durchmesser, T3 ab Bj. 07/88, OE Ref. 251853601;HL;L-08-1-2;yes;18
101151;"Schriftzug """"Caravelle C"""" in Chrom T3 OE Ref. 255853689K";HL;2-N1-402-4;yes;1
101152;"Schriftzug "" Caravelle CL"" in Chrom für T3 Bus OE Ref. 255853689L";HL;L-12-0-1-1;yes;3
101154;"Schriftzug """"CABRIOLET"""" in Weiss für Heckklappe,  Golf 1 Cabrio, OE Ref. 155853687B  QK6";HL;2-N3-403-5;yes;2
101155;"""""Karmann"""" Emblem seitlich am Kotflügel Golf 1 Cabrio  OE Ref.155853901";HL;2-N1-403-1;yes;13
101156;"Schriftzug """" Volkswagen mit VW Zeichen"""" in Chrom T3 OE Ref. 251853685A";HL;N-13-1-5-4;yes;1
101157;"Schriftzug, ""Transporter"", in Chrom, 37.5 cm lang, T3 Bus, OE Ref. 251853689D";HL;2-N3-505-3;yes;2
101159;"Emblem, Schriftzug für Heck, ""Golf GTI"" in Chrom, Golf 2 &Co, OE Ref. 191853687N GX2";HL;2-N5-503-4;yes;4
101162;Stabi Lager Satz für Hinterachse 20,5mm Golf 1 & Co OE Ref. 171511437 und 171511413;HL;;no;0
101163;Tachowelle, bis 1.3L & BJ 07/1981, Golf 1 &Co, OE Ref 171957803B;HL;M-05-3-3;yes;2
101165;Kühlwasserschlauch zwischen Wasserrohr und Stutzen, Golf 1 &Co GTI, OE Ref. 026121063A;HL;2-G2-603;yes;4
101166;Kühlwasserschlauch zw. Ausgleichsbehälter und Wasserrohr 1,8L Golf 1 &Co, OE Ref. 533121109;HL;2-I1-605;yes;0
101167;Radbremszylinder, hinten, 17,46 mm, OE Ref. 321611053A;HL;2-N7-201-2;yes;7
101168;Halter für Bremsleitung, Kunststoff, Golf 2 &Co, OE Ref. 811611797;HL;2-N7-503-1;yes;62
101169;Reparatursatz für Schalthebel Aufnahme 4 und 5 Gang Getriebe T3 OE Ref. 251798116;HL;2-N1-601-3;yes;3
101170;Dichtung für Wegstreckensensor am Getriebe Golf 2 &Co ab Bj. 08/1986 OE Ref. 191957861;HL;M-06-1-2-2;yes;1
101171;Dichtung für Gaszug an Spritzwand  Golf 1 &Co OE Rref. 171723589;HL;2-O5-301-2;yes;13
101172;Bremsbackensatz für Hinterachse beidseitig Caddy und Golf 2 Syncro  OE Ref. 357698525C;HL;3-A9-506;yes;2
101173;Montagesatz für Bremsbacken Hinterachse Caddy und Golf 2 Syncro OE Ref. 443698545;HL;2-N9-403-4;yes;1
101174;Radlagersatz für Hinterachse Rechts oder Links Caddy OE Ref. 4A0598625A;HL;2-K2-401-2;yes;2
101178;VW Zeichen für Kühlergrill in schwarz 125mm Durchmesser T3 ab Bj. 08/1988 OE Ref. 251853601A;HL;N-13-1-3-4;yes;15
101179;Montagesatz für Achslager der Hinterachse, beidseitig,  Golf 1 & Co;HL;2-K6-606;yes;19
101180;Montagesatz inkl. Achslager für Aufhängung der Hinterachse beidseitig Golf 1 & Co. OE Ref. 171501537;HL;;no;0
101181;Großer Reparatursatz für Schaltgestänge Golf 2 & Co mit 1,6-1,8L Hubraum 5 und 4-Gang Getriebe;HL;;no;0
101184;Kraftstoffschlauch, Benzinpumpe zu Druckspeicher, Caddy 14d,  OE Ref. 179201220;HL;2-N17-403-2;yes;2
101186;Chromleisten Satz für Kühlergrill Golf 1 & Co OE Ref. 171898655;HL;3-H3-208;yes;3
101187;Zierleisten in Rot für Kühlergrill Golf 1 & Co GTI OE Ref. 171898655;HL;3-H3-204;yes;2
101188;Kühler Netzmaße 480x320 mit integriertem Ausgleichsbehälter Golf 1 & Co GTI OE Ref. 171121253G;HL;3-F5-104;yes;3
101189;Dichtungsset mit Nut für Keder, inklusive Chromkeder und Muffen für 3-türigen Golf 2;HL;2-H5-202;yes;2
101190;Profilgummikleber,70ml Klebstoff Marke Pretec, für Gummi-Dichtungen.;HL;2-K5-702-1;yes;8
101191;Petec Rückspiegel Klebeset zur Montage des Spiegels an Windschutzscheibe.;HL;2-K5-702-2;yes;4
101192;Verriegelungsset für Motorhaube, inkl. Schloss Ober- und Unterteil und Haubenzug, Golf 2 & Co;HL;;no;0
101193;Lenkstockhebel für Scheibenwischer Golf 2 &Co ab Bj. 08/1989  OE Ref. 357953519;HL;2-I11-703;yes;2
101194;Lenkstockhebel-Set mit Warnblinkschalter 08/89 Golf 2 &Co OE Ref. 357953519 und 357953513F;HL;;no;0
101195;Faltenbalg für Schaltstange Golf 1 und Co. bis 07/81 und T3 bis 07/92 OE Ref. 020301261A;HL;2-N1-702-3;yes;3
101198;Ölwanne für T3 Diesel und Turbodiesel OE Ref. 068103601AB;HL;3-B2-501;yes;1
101199;Ansaugschlauch am Luftfilter Einlaßseite 1,9L Hubraum Bj. 02/82 bis 07/85 T3  OE Ref. 025129967A;HL;2-K4-705;yes;1
101200;Sensor für Kraftstoffvorrat T3 Syncro OE Ref. 251919051H;HL;2-I13-205;yes;1
101201;Winkelstück für Entlüftungsschlauch des Kraftstoffbehälters, T3, OE Ref. 251201157A;HL;2-N17-302-3;yes;2
101202;Entlüftungsschlauch komplett mit Winkelstück für Kraftstoffbehälter T3 OE Ref. 251201147B;HL;L-08-1-7;yes;0
101203;Führung für Schaltfinger des Schaltgestänges am Getriebe T3 Diesel OE Ref. 251711973A;HL;2-N1-603-2;yes;0
101204;Dämpfungsring am Schalthebel, T3 Bus, mit 5-Gang Getriebe, OE Ref. 251711226;HL;2-N1-704-3;yes;21
101205;Kreuzgelenk für Lenkwelle T3 mit Servolenkung OE Ref. 281422417;HL;N-03-4-4-1;yes;1
101206;Halter für Bremsleitung aus Kunstoff T3, T4, OE Ref. 281611767;HL;2-N9-402-6;yes;12
101207;Druckstange für Gaspedal T3 OE Ref. 251721609C;HL;M-06-0-4-1;yes;1
101208;Original Gaspedal VW T3 OE Ref. 251721511D;HL;M-05-2-4;yes;7
101209;Bremsträgerblech für Trommelbremse hinten Links T3 OE Ref. 251609425D;HL;3-A6-604;yes;7
101210;Bremsträgerblech für Trommelbremse hinten rechts T3 OE Ref. 251609426D;HL;3-A6-603;yes;4
101211;Abdeckung für Griffmulde Westfalia Aufstelldach in Grau T3 OE Ref. 253070787G und 255070720A;HL;2-K5-304;yes;1
101212;Abdeckung für Griffmulde Westfalia Aufstelldach in Beige  T3 OE Ref. 253070787 und 253070787T;HL;2-K7-302;yes;1
101216;Drehknopf für Dachentlüfter am Westfalia Aufstelldach in Grau T3 OE Ref. 255070902E;HL;2-N11-601-5;yes;2
101217;Lenkstockhebel für Blinker T3 OE Ref. 251953513;HL;2-I11-705;yes;1
101218;Lenkstockhebel für Scheibenwischer T3 OE Ref. 251953519C;HL;2-I11-706;yes;1
101221;Kraftstoffschlauch von Vorlauf zu Benzinfilter Caddy  OE Ref. 147201218;HL;2-N17-301-6;yes;1
101222;Dichtung für Stegblech / Wasserabweiser & Motorhaube, Golf 1 &Co, OE Ref.171819519C;HL;2-H1-703;yes;6
101223;Dichtung für Heckklappe, Golf 1 Cabrio, OE Ref. 155827705;HL;2-H5-203;yes;3
101224;Dichtung für Heckklappenschloß T3 ab Bj. 08/1984  OE Ref. 251829233;HL;2-L2-401-4;yes;9
101225;Befestigungsclip für Kühlergrill oben T3 OE Ref. 251853696;HL;2-N13-604-4;yes;13
101226;Klemmstift , Befestigungsstift für Kühlergrill oben T3 OE Ref. 251853731;HL;2-N13-604-5;yes;29
101227;Nabenkappe in silber für Original Alufelge 6Jx14  T3  OE Ref. 251601171;HL;2-O5-304-3;yes;4
101228;Dichtung, innen, Türöffner, Blende, Golf 1 &Co, Golf 2, T3, OE Ref. 171837241;HL;R24-164-01;yes;16
101229;Dichtung für Türbegrenzer, Golf 2 &Co, T3, Passat 32b, OE Ref. 867837267;HL;M-05-2-5;yes;27
101230;Einzieher bzw. Montagewerkzeug für Chromkeder OE Ref. 011898109A;HL;2-L1-302-4;yes;6
101231;Schelle für Stabigummi  T3 ab Bj. 08/1984  OE Ref. 251411063A;HL;M-04-6-4-3;yes;7
101232;Schelle für Stabigummi T3 bis Bj. 07/1984 OE Ref. 251411063;HL;N-05-3-5-3;yes;4
101233;Stabilisatorstütze vorne beidseitig T3 ab Bj. 08/1984 OE Ref. 251411051A;HL;L-14-2-7-2;yes;4
101234;Stützring für Lenksäule oben Golf  & Co und T3  OE Ref. 171419341;HL;N-11-0-4-6;yes;9
101235;Exzenterschraube zur Sturzeinstellung am Federbein, Golf 1 &Co, OE Ref. 171407265;HL;2-K6-303;yes;128
101236;Spannseile seitlich am Verdeck links und rechts Golf 1 Cabrio OE Ref. 151871955;HL;M-02-3-5;yes;4
101239;Bolzen inkl. Sicherungsring für Türfangband T3 OE Ref. 211837257B;HL;2-N11-605-1;yes;8
101241;"Schlüsselrohling Profil """"Z"""" Tankdeckel Golf 1 &Co und T3 OE Ref. 111837219AS99";HL;;no;0
101242;Hebel für Heizungsblende T3 ab Bj. 01/1981 OE Ref. 251259371C;HL;pickware_unknown_location;no;5
101243;Anschlagpuffer für Schließplatte der Schiebetür T3 bis Baujahr 07/1984 OE Ref. 211837177;HL;;no;0
101244;Gelenkschraube für eckige Scheinwerfer T3 ab Bj. 08/84 OE Ref. 255941133;HL;2-N7-705-3;yes;7
101247;Anschlagpuffer für Schiebetüre oben T3 OE Ref. 251843314;HL;2-O5-504-2;yes;2
101251;Dichtung für Tankgeber T3 Syncro OE Ref. 251919133;HL;N-07-3-2-3;yes;3
101252;Distanzhülse für Lenksäule oben, Lenkrad Abstand, Golf &Co und T3, OE Ref. 171419549;HL;;no;0
101253;Anschlagpuffer für Schiebetür unten T3 OE Ref. 251843312A;HL;2-N11-605-6;yes;2
101254;Reduzierschlauch für Kraftstofftank 7/11mm Golf 1 & Co und T3 OE Ref. 171201543B;HL;2-N17-401-5;yes;4
101257;Deckel für Kühlwasserausgleichbehälter T3 bis Bj. 12/1983 OE Ref. 025121321;HL;N-01-0-5-4;yes;2
101258;Türdichtung zwischen Türoberkante und A-Säule, Golf 1 & Co, T3,  OE Ref. 171837913F;HL;N-07-3-2-4;yes;0
101265;Zierleiste links, A-Säule links, schwarz, T3, OE Ref. 251853705 1BG;HL;2-G1-901;yes;7
101266;Führung für Schalthebel unten T3  mit 5 Gang Getriebe OE Ref. 251711173C;HL;2-N1-601-1;yes;4
101268;Druckschlauch für Turbolader oben T3 TD ab Bj. 08/1984  OE Ref. 068129628E;HL;M-03-4-3;yes;2
101272;Rollenführung für Schiebetür unten rechts T3 OE Ref. 251843406A;HL;N-07-3-3-3;yes;1
101273;Schloßsatz, Schließgarnitur komplett, T3 ab Baujahr 08/84, OE Ref. 251843704E;HL;2-K3-502;yes;4
101274;Unterlagen (2 Stück) zwischen Wasserkühler unten und Frontmaske, Golf & Co und T3, OE Ref. 171121276;HL;2-N17-604-1;yes;46
101275;Federscheibe für Federbein und Querlenker Golf 1 & Co OE Ref. 171407239A;HL;2-K6-301-1;yes;99
101276;Halter für Bremsleitung, doppelte Ausführung, Golf & Co, T3, OE Ref. 321611853;HL;2-N9-402-3;yes;18
101277;Einstellmutter M6 für Handbremsseil, Golf & Co und T3, OE Ref. 111711349;HL;2-N7-505-4;yes;9
101278;Feder für Schalthebel Golf &Co, T4, OE Ref. 431711197, 823711197A;HL;2-N3-702-4;yes;10
101279;Befestigungssatz für Bremstrommel Golf  &Co OE Ref. 803501221 und  N0111671;HL;2-N7-403-2;yes;8
101280;Dichtung für Heckwischermotor Golf & Co OE Ref. 191955265;HL;2-N15-701-4;yes;2
101281;Dichtung für Alu Wasserflansch vorne am Zylinderkopf, Golf 1 &Co, Benziner bis 83, OE Ref. 056121139;HL;2-M1-503-3;yes;7
101282;Dichtung für Vergaserdeckel vom 1B3 Vergaser Golf 1 & Co MKB JB OE Ref. 049129281F;HL;pickware_unknown_location;no;2
101283;Nabenkappe für Original Alufelge mit VW Emblem Golf 1 &Co OE Ref. 111601171;HL;M-06-5-4-1;yes;8
101284;Gummilager für mechanisches Lenkgetriebe links Golf 1 &Co  OE Ref. 171419883;HL;;no;0
101285;Gummilager mechanisches Lenkgetriebe rechts Golf 1 &Co OE Ref. 171419884;HL;;no;0
101288;Scheibenwischergestänge kurz links Golf 1 &Co OE Ref. 171955325;HL;;no;0
101385;VW-Zeichen hinten in chrom Golf 2 ab Baujahr 08/1988 OE Ref. 191853601G;HL;2-N3-404-1;yes;4
101386;"Emblem ""VW"" hinten in schwarz, Golf 2 ab Bj. 1988, OE Ref. 191853601J XZ1";HL;2-N5-403-1;yes;16
101387;Kraftstoffpumpe, Niederdruck, Polo mit L-Jetronic, OE Ref. 867906091B;HL;2-L5-302-1;yes;3
101388;Dichtung für Ölfilterhalter Golf &Co 1,8L ab Bj. 08/1988, T4 Bus OE Ref. 028115441C;HL;2-M1-401-1;yes;5
101390;Kraftstofffilter mit Ausgleichsbehälter, Golf 1 & Co und Polo, OE Ref. 533201511A;HL;2-N17-403-5;yes;0
101391;Druckspeicher K-Jetronic, Golf & Co, Passat, OE Ref. 431133441C;HL;2-L7-501;yes;2
101392;Bremsleitungssatz Golf 2 GTI mit Scheibenbremse an der Hinterachse und ABS;HL;;no;0
101393;Schloß Heckklappe Golf 1 Cabrio & Co OE Ref. 327827539;HL;2-L4-401-1;yes;2
101394;Klammer für Türgestänge Golf 1 &Co OE Ref. 171837199;HL;2-N11-602-2;yes;18
101397;Staubschutzsatz mit Puffern, Stoßdämpfer vorne, Golf & Co, OE Ref. 357412135, 191412303A;HL;;no;0
101398;Endstück, Abdeckung Regenrinne, vorne links bzw. hinten rechts, T3, OE Ref. 251853709 1BG;HL;2-O5-305-2;yes;9
101401;Dichtung für Öleinfüllrohr T3 Diesel ab Bj. 08/82 OE Ref. 068115315A;HL;2-M5-402-5;yes;4
101402;Dichtung für Heckklappenscheibe mit Nut für Zierleiste  T3 OE Ref. 255845521;HL;2-G7-502;yes;2
101403;Schellen für Stabilisator, vorne innen, 2 Stück, Golf 1 &Co OE Ref. 171411337;HL;;no;0
101441;Unterlage bzw.  Dichtung für Außenspiegel Golf 1 & Co OE Ref. 171857543A;HL;N-01-2-5-1;yes;17
101442;"Schriftzug ""GTI"" seitlich auf Zierleiste, Golf 2, OE Ref. 191853714 QN5";HL;2-N3-405-1;yes;17
101443;Einsatz für Einspritzventil  Golf &Co OE Ref. 063133555A;HL;;no;0
101444;Wärmetauscher für Innenraumheizung Golf 1 & Co OE Ref. 171819031D;HL;2-I3-703;yes;2
101445;Spannbügel passend für Stabilisatorschelle, Golf 1 &Co,  OE Ref.171511453;HL;2-K6-405-1;yes;73
101446;Anbausatz Kupplungsseil  mit selbstnachstellender Kupplung Golf 2 &Co OE Ref. 533798105;HL;M-04-3-2-3;yes;10
101449;Kühlwasserschlauch, Rohrleitung zu Ansaugbrücke, Golf &Co, OE Ref. 027121056A;HL;2-G2-203;yes;7
101450;Druckscheibe für Radlager vorne 38 x 20 für VW T3 OE Ref. 111405661;HL;2-N9-301-2;yes;3
101455;Bremsleitungssatz VW Scirocco 53B 16 V mit Scheibenbremse hinten;HL;;no;0
101456;Sechskantschraube M12x1.5x50 für Federbein Golf 1 &Co OE Ref. 133513471;HL;2-K6-301-3;yes;127
101457;Mutter M12x1,5 SW 17, für Federbein Golf 1 &Co, OE Ref. N0111351;HL;2-K6-302;yes;148
101469;Dichtung Heckklappe, Kofferraum, Golf 2, Scirocco, Polo 2, Passat 32b OE Ref. 321827705A;HL;2-G5-401;yes;17
101470;Motorhaubenschloss Oberteil, Golf 1 & Co  bis Baujahr 07/83, OE Ref. 321823507A;HL;M-01-0-4;yes;3
101471;Griffschale für Schiebedachkurbel, weiß, Golf 1 &Co und T3, OE Ref.  117877433;HL;2-O5-302-6;yes;1
101472;"Steinschlagschutzfolie (gepunktet) am Radlauf hinten links, Golf 1 Cabrio ""Karmann"", OE Ref. 1558538";HL;2-N5-404-1;yes;11
101473;"Steinschlagschutzfolie (gepunktet) am Radlauf hinten rechts, Golf 1 Cabrio "" Karmann"", OE Ref. 15585";HL;2-N5-404-3;yes;11
100214;Schaltfinger für Umlenkhebel, Golf 1 &Co 4-Gang, Golf 1 Cabrio mit Servo, OE Ref. 171711163D;HL;2-N5-701-2;yes;2
100254;Schaltsack aus Kunstleder Golf 2 &Co OE Ref. 191711115 C;HL;2-N3-603-4;yes;3
100255;Lichtschalter 10-polig Golf 2 &Co ab Bj. 08/1988 OE Ref. 191941531K;HL;2-N1-305-3;yes;2
100285;Kühlwasserschlauchsatz für Golf Jetta 2 mit 1,8L bis Bj. 07/1989;HL;;no;0
100290;Lichtschalter 8 - polig Golf 2 & Co bis Bj. 07/87  OE Ref. 191941531H;HL;2-N1-202-2;yes;3
100313;Kleiner Reparatursatz Getriebebetätigung, mit Schaltstange und Buchsen, Golf 2 &Co ab 1,6L Hubraum;HL;;no;0
100315;Tankdeckel mit Gewinde ohne Schloß bis Bj. 81 OE Ref. 171201551M;HL;;no;0
100353;Kraftstoffschlauch 5,5X2,5 mm Preis pro Meter, OE Ref. N90099603;HL;L-18-01-05;yes;18
100368;Ölmesstab Golf und Passat Diesel OE Ref. 068115611P;HL;L-18-01-17;yes;2
100418;Ausgleichsbehälter für Kühlkreislauf  T3 Benziner ab Bj. 08/1985  OE Ref. 025121403B;HL;2-I5-302;yes;2
100447;Fahrwerksfeder vorne, Golf 1 &Co bis Baujahr 06/1979 OE Ref. 171411103;HL;;no;0
100485;Auspuffgummi aus EPDM verstärkte Ausführung für T3 Diesel, OE Ref. 033251393;HL;2-M1-102-2;yes;8
100504;Einstellscheibe für das Ventilspiel 3,50 mm Stark ab 1,5l Hubraum OE Ref. 056109565;HL;2-M1-202-3;yes;6
100544;Schaltstangenlager für Schaltwelle am Unterboden hinten Golf 2 &Co OE Ref. 191711190A;HL;2-N3-702-1;yes;28
100566;Lager für Kugelschale am Schalthebel T3, 4 und 5 Gang, OE Ref. 823711255;HL;2-N1-604-6;yes;2
100594;Kupfermutter selbstsichernd SW12 OE Ref. N90085001;HL;2-M3-404-2;yes;53
100595;1-Ohr-Schelle-Klemme, Klemmschelle, Spannbereich 9,5-11mm;HL;2-N17-601-6;yes;50
100596;Splint 4x30mm, zur Sicherung vom hinteren Radlager, OE Ref. N0125361;HL;2-N9-403-3;yes;215
100599;Kraftstoffschlauch, Benzinschlauch, 7x3mm, Preis Pro Meter, OE Ref. N90080105;HL;L-18-01-08;yes;47
100640;Türgriff, vorne links, mit Schließzylinder und Schlüssel, schwarz, Golf & Co OE Ref. 191837205A;HL;2-K3-403;yes;7
100656;Türgriffdichtung hinten Golf &Co OE Ref. 171837211A;HL;2-L2-404-2;yes;54
100669;Führung für Türknopf bzw. Verriegelungsknopf, Golf 1 & Co und T3, OE Ref. 171837355 043;HL;2-N9-601-5;yes;21
100677;Dichtung Türgriff, vorne, OE Ref. 867837209;HL;2-L2-404-3;yes;48
100692;Ausgleichsbehälter für Geber OE Ref. 171121407F;HL;2-I3-301;yes;11
100693;Ausgleichsbehälter für  Kühler ohne Geber OE Ref.171121407E;HL;2-I5-301;yes;4
100800;Dichtung Hosenrohr zweiflutig GTI Golf 1 & Co OE Ref. 055253115A;HL;2-M5-501-1;yes;4
100804;Dichtung für Zündverteiler 46 x 35 mm bis Bj. 07/1987, OE Ref. 056905261;HL;2-M5-503-2;yes;4
100806;Zierleistenclip Golf 2 ab Bj. 08/89 OE Ref. 191853585A;HL;2-N15-603-2;yes;140
100807;Tülle für Zierleistenclip Golf 2 ab 89 1H0853586;HL;2-N15-603-3;yes;253
100814;Reparatursatz für Achsschenkel vorne Beidseitig Golf 1 &Co, OE Ref. 171498625D, 175407615, 171615311;HL;;no;0
100834;Türgriff mit Schließzylinder und Schlüssel in schwarz vorne rechts Golf &Co OE Ref. 191837206A;HL;2-K3-404;yes;8
100882;Heckklappenschloss, Jetta 2, ohne Zentralverriegelung, OE REf. 165827571F;HL;2-K3-301-2;yes;1
100898;Sitz-Führungsstück, Golf &Co, OE Ref.171881213B;HL;pickware_unknown_location;no;-2
100898;Sitz-Führungsstück, Golf &Co, OE Ref.171881213B;HL;2-N9-601-2;yes;1917
100899;Sitz Führungsstück OE Ref. 435881203A;HL;pickware_unknown_location;no;-2
100899;Sitz Führungsstück OE Ref. 435881203A;HL;2-N9-601-3;yes;33
100900;Sitz Führungsstück, OE Ref. 191881213;HL;pickware_unknown_location;no;-2
100900;Sitz Führungsstück, OE Ref. 191881213;HL;2-N9-601-1;yes;17
100903;Türgriff hinten rechts ohne Schloss in Schwarz Golf &Co OE Ref. 193839206;HL;2-K3-302-1;yes;1
100904;Dichtung für Hosenrohr Passat OE Ref. 443253115A und 431253115A;HL;2-M3-403-6;yes;12
100905;Türgriff ohne Schloss in Schwarz hinten links  Golf &Co OE Ref. 193839205;HL;2-K3-302-2;yes;2
100906;Kupfermutter M8 für Abgasanlage, Schlüsselweite 13mm, Güte 10, OE Ref. 803253111;HL;2-M5-401-2;yes;72
100912;Türschloss vorne links Golf &Co OE Ref. 327837015B;HL;2-K3-303-1;yes;3
100921;Türschloss vorne rechts Golf &Co OE Ref. 327837016B;HL;2-K3-304-2;yes;5
100922;Geber, Sensor bzw. Schalter für Kühlwasser mit Zentralstecker  Golf &Co Passat T3 OE Ref. 251919372A;HL;2-N7-801-4;yes;3
100924;Relais 167, Multifunktionsrelais, Relais für Kraftstoffpumpe, Golf &Co, OE Ref. 191906383C;HL;2-N3-205-2;yes;3
100925;Türschloss hinten rechts Golf &Co OE Ref. 327839016B;HL;2-K3-303-2;yes;2
100929;1-Ohr-Schelle-Klemme, Klemmschelle, Spannbereich 13-15,5mm;HL;2-N17-601-3;yes;75
100930;1-Ohr-Schelle-Klemme, Klemmschelle, Spannbereich 18-21mm;HL;2-K1-302-3;yes;44
100933;Lager Stabi, Golf 1 & Co, OE Ref. 171411313;HL;2-K6-402;yes;13
100934;Lager Stabi, OE Ref. 171411314A;HL;2-K6-401;yes;25
100936;Türschloss hinten links Golf &Co OE Ref. 327839015B;HL;2-K3-304-1;yes;2
100939;O-Ring Einspritzdüse Dichtung 035133557A klein;HL;2-M3-202-1;yes;36
100940;O-Ring für Einspritzdüse, Dichtung, OE Ref. 034133557E;HL;2-M3-202-2;yes;55
100942;Türgriffdichtung T3 Vorne OE Ref. 251837209;HL;2-L4-401-2;yes;8
100943;Türgriffdichtung T3 hinten OE Ref. 251837211;HL;2-L4-401-3;yes;8
100965;Kühlmittel-Ausgleichsbehälter, Golf 2 &Co, 1H0121407A;HL;2-F1-702;yes;1
100966;Ausgleichsbehälter,Kühler,ohne Fühler 357121407B;HL;2-F1-302;yes;2
100981;Wasserpumpe mit Gehäuse und Dichtungen ab 1,5L und Bj. 08/81, T4, OE Ref. 026121010C;HL;2-F3-301;yes;4
101019;Reparaturblech Einstieg bzw. Trittstufe vorn rechts T3 OE Ref. 251809512;HL;3-F10-501;yes;5
101023;Reparaturblech für Radlauf bzw. Seitenwand hinten links, T3, OE Ref. 251809159B;HL;3-F2-503;yes;4
101024;Reparaturblech für Radlauf, hinten rechts, T3, OE Ref. 251809156;HL;3-F2-502;yes;3
101025;Reparaturblech für Einstieg bzw. Trittstufe, vorn links, T3 OE Ref. 251809511;HL;3-F10-502;yes;7
101026;Reparaturblech für Fahrertür unten außen T3 OE Ref. 251831107;HL;3-F10-602;yes;1
101027;Reparaturblech für Beifahrertür, unten außen, T3 OE Ref. 251831108;HL;3-F10-601;yes;2
101028;Reparaturblech für Schiebetür unten außen, T3 Bus, OE Ref. 251843107;HL;3-H2-203;yes;2
101029;Reparaturblech für Schiebetür unten innen T3 OE Ref. 251843109;HL;3-H4-204;yes;6
101052;Kraftstoffschlauch, Kraftstofffilter zu Mengenteiler, Golf 1 GTI &Co, K-Jetronic, OE Ref. 067133679H;HL;2-N17-402-2;yes;5
101063;Dichtung für Rücklicht Golf 1 & Cabrio OE Ref. 171945191;HL;M-01-0-3;yes;29
101070;Kennzeichenhalter vorne Grundiert Golf Cabrio ab Bj. 1987 OE Ref. 155807847B;HL;2-K7-303;yes;1
101071;Sonax Gummipfleger 100 ml inkl. Schwammapplikator;HL;2-K5-705-2;yes;3
101080;Schriftzug Jetta GL in Chrom/Schwarz OE Ref. 165853687P GX2;HL;;no;0
101081;Kupferpaste Liqui Moly 100 g;HL;2-K5-702-5;yes;3
101160;Gummi für Stabilisator hinten/ mitte Golf 1 &Co OE Ref. 171511413;HL;2-K6-404;yes;11
101161;Gummilager, hinten/außen, Stabilisator 20,5 mm, Golf 1 & Co OE Ref. 171511437;HL;2-K6-403;yes;25
101175;Schraube M10 für Türscharnier N90307901;HL;2-O5-804-2;yes;11
101177;Türscharnier, Gewinde M10, Golf &,Co, Polo, Passat 32b, OE Ref. 321831403;HL;2-O5-804-3;yes;37
101240;Dirko HT Dichtmasse für Motor Getriebe und Anbauteile Tube mit 20ml Inhalt;HL;2-M1-402-1;yes;10
101245;Gelenkschraube für eckigen Fernscheinwerfer T3 ab Bj. 08/84 OE Ref. 255941133A;HL;2-N7-705-2;yes;4
101260;Schließplatte für Schiebetür rechts hinten T3 bis Bj. 07/84 OE Ref. 211843636B;HL;2-K3-301-3;yes;2
101261;Abdeckung für Luftkanal an B-Säule, beidseitig, T3, OE Ref. 255259637;HL;R24-067-05;yes;0
101264;Spreizmutter zur Befestigung vom Kühlergrill Golf 1 Cabrio und Caddy ab 08/87 OE Ref. 1H0853120;HL;2-N15-804-3;yes;96
101269;Nachfüllbehälter für Kühlwasser, T3 ab Bj. 08/82 OE Ref. 025121403;HL;2-F1-102;yes;21
101270;Ölbehälter für Servolenkung T3 OE Ref. 251422371;HL;N-03-4-3-2;yes;1
101271;Rollenführung für Schiebetür unten links T3 Bj. 79 bis 92  OE Ref. 252843405A;HL;N-01-5-1-3;yes;1
101286;Schraubensicherung Blau mittelfest 5g;HL;2-K5-702-3;yes;1
101289;Scheibenwischergestänge, lang, rechts, Golf 1 & Co, OE Ref. 171955326;HL;;no;0
101290;Wasserablaufventil für Wasserkasten, vorne, Golf 1 &Co, OE Ref. 171819419;HL;L-18-01-21;yes;11
101292;Halteband, 2 Stück, für 40L Tank, Edelstahl, Golf 1 & Co, OE Ref. 171201651A;HL;3-E2-703;yes;4
101293;Dichtungssatz mit Ölsieb für Automatikgetriebe Golf &Co  OE Ref. 010398009 A;HL;L-18-01-18;yes;1
